
OID=.1.3.6.1.2.1.1.2.0, Type=OID, Value=1.3.6.1.4.1.318.1.3.4.5
OID=.1.3.6.1.2.1.1.3.0, Type=TimeTicks, Value=34 days, 5:23:26.57
OID=.1.3.6.1.2.1.1.5.0, Type=OctetString, Value=apc-1-a1-sqy
OID=.1.3.6.1.2.1.1.6.0, Type=OctetString, Value=SQY
OID=.1.3.6.1.2.1.1.7.0, Type=Integer, Value=72
OID=.1.3.6.1.2.1.1.8.0, Type=TimeTicks, Value=0:00:00.00
OID=.1.3.6.1.2.1.1.9.1.2.1, Type=OID, Value=1.3.6.1.6.3.1
OID=.1.3.6.1.2.1.1.9.1.2.2, Type=OID, Value=1.3.6.1.6.3.10.3.1.1
OID=.1.3.6.1.2.1.1.9.1.2.3, Type=OID, Value=1.3.6.1.6.3.11.3.1.1
OID=.1.3.6.1.2.1.1.9.1.2.4, Type=OID, Value=1.3.6.1.6.3.15.2.1.1
OID=.1.3.6.1.2.1.1.9.1.2.5, Type=OID, Value=1.3.6.1.6.3.16.2.1.1
OID=.1.3.6.1.2.1.1.9.1.3.1, Type=OctetString, Value=The MIB Module from SNMPv2 entities
OID=.1.3.6.1.2.1.1.9.1.3.2, Type=OctetString, Value=SNMP Management Architecture MIB
OID=.1.3.6.1.2.1.1.9.1.3.3, Type=OctetString, Value=Message Processing and Dispatching MIB
OID=.1.3.6.1.2.1.1.9.1.3.4, Type=OctetString, Value=USM User MIB
OID=.1.3.6.1.2.1.1.9.1.3.5, Type=OctetString, Value=VACM MIB
OID=.1.3.6.1.2.1.1.9.1.4.1, Type=TimeTicks, Value=0:00:00.00
OID=.1.3.6.1.2.1.1.9.1.4.2, Type=TimeTicks, Value=0:00:00.00
OID=.1.3.6.1.2.1.1.9.1.4.3, Type=TimeTicks, Value=0:00:00.00
OID=.1.3.6.1.2.1.1.9.1.4.4, Type=TimeTicks, Value=0:00:00.00
OID=.1.3.6.1.2.1.1.9.1.4.5, Type=TimeTicks, Value=0:00:00.00
OID=.1.3.6.1.2.1.2.1.0, Type=Integer, Value=2
OID=.1.3.6.1.2.1.2.2.1.1.1, Type=Integer, Value=1
OID=.1.3.6.1.2.1.2.2.1.1.2, Type=Integer, Value=2
OID=.1.3.6.1.2.1.2.2.1.2.1, Type=OctetString, Value=LOOPBACK
OID=.1.3.6.1.2.1.2.2.1.2.2, Type=OctetString, Value=lance
OID=.1.3.6.1.2.1.2.2.1.3.1, Type=Integer, Value=24
OID=.1.3.6.1.2.1.2.2.1.3.2, Type=Integer, Value=6
